,question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
2475,URA Carpark fine appeal contact no,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/23/2019 12:44,11/10/2019 19:08,18,Kan Yuan Jing,General Information about URA
2476,I need apply season parking but no have driver yet can i apply,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/23/2019 13:23,11/10/2019 19:08,18,Kan Yuan Jing,Car Parks-Season Parking-Apply
2477,Hican I buy season parking at royal square novena or near by building,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/23/2019 13:36,11/10/2019 19:08,18,Kan Yuan Jing,Car Parks-Season Parking-Apply
2478,I Have buses but not driver can apply season parking lots,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/23/2019 13:38,11/10/2019 19:08,18,Kan Yuan Jing,Car Parks-Season Parking-Apply
2479,no have bus driver can apply season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/23/2019 13:39,11/10/2019 19:08,18,Kan Yuan Jing,Car Parks-Season Parking-Apply
2480,Our company has recently purchase a new bus and we are intending to apply for Season Parking However is it possible to apply without any drivers Because we are still i,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/23/2019 14:07,11/10/2019 19:08,18,Kan Yuan Jing,Car Parks-Season Parking-Apply
2481,Can you tell me the email to write to appeal a parking office,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/23/2019 14:34,11/10/2019 19:08,18,Kan Yuan Jing,General Information about URA
2482,How long does it take to process my use of parking lot application,(UPL) How long does it take to process my use of parking lot application?,Top Match,(UPL) How long does it take to process my use of parking lot application?,Car Parks,No Feedback,10/24/2019 15:26,11/10/2019 19:07,17,Kan Yuan Jing,Car Parks-Use of Parking lot for non-parking purpose
2483,I want to search for kallang avenue jtc car park,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/24/2019 16:42,11/10/2019 19:07,17,Kan Yuan Jing,Catch all
2484,Where can I report illegal parking,(ENF) How do I make a report when I see parking offences?,Top Match,(ENF) How do I make a report when I see parking offences?,Car Parks,No Feedback,10/24/2019 17:48,11/10/2019 19:07,17,Kan Yuan Jing,General info on reporting infringements
2485,Im not the owner of the car Can I apply season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/21/2019 1:02,11/10/2019 19:07,20,Kan Yuan Jing,Car Parks-Season Parking-Apply
2486,nearest car park to 12 ang siang hill,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/21/2019 9:36,11/10/2019 19:07,20,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
2487,day season parking,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,10/21/2019 9:42,11/10/2019 19:07,20,Kan Yuan Jing,Car Parks-Season Parking-Apply
2488,day season parking timing,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/21/2019 9:43,11/10/2019 19:07,20,Kan Yuan Jing,Car Parks-Season Parking-Apply
2489,what is the fine for tampering car park coupon,(Common Offences) What are the types of parking offences and composition amount?,Top Match,(Common Offences) What are the types of parking offences and composition amount?,Car Parks,No Feedback,10/21/2019 10:11,11/10/2019 19:07,20,Kan Yuan Jing,(PON) What should I do if I am issued a Notice for a Tampered Coupon offence?
2490,how to appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/21/2019 10:14,11/10/2019 19:07,20,Kan Yuan Jing,Car Parks-Parking Offences
2491,how to appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/21/2019 10:20,11/10/2019 19:07,20,Kan Yuan Jing,Car Parks-Parking Offences
2492,If I missed the payment due date on the Court Summons letter can I still settle the summons without attending Court,"(Court) If I missed the payment due date on the Court Summons letter, can I still settle the summons without attending Court?",Top Match,"(Court) If I missed the payment due date on the Court Summons letter, can I still settle the summons without attending Court?",Car Parks,No Feedback,10/21/2019 11:04,11/10/2019 19:06,20,Kan Yuan Jing,Car Parks-Parking Offences
2493,received Parking notice overdue but i have already paid,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/21/2019 11:31,11/10/2019 19:06,20,Kan Yuan Jing,Car Parks-Parking Offences
2494,details of fine,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,Incorrect,10/21/2019 11:18,11/10/2019 19:06,20,Kan Yuan Jing,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?
2495,buy season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/21/2019 14:06,11/10/2019 19:06,20,Kan Yuan Jing,Car Parks-Season Parking-Apply
2496,Can I pay for one month parking fees from 22 October thru 21 November,(Payment) How do I make payment for my parking offence?,,Car Parks-Season Parking,,No Feedback,10/21/2019 17:03,11/10/2019 19:05,20,Kan Yuan Jing,Car Parks-Season Parking
2497,how can i check the history payment for the fine,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/21/2019 16:23,11/10/2019 19:05,20,Kan Yuan Jing,Catch all
2498,How do I appeal ura fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/21/2019 16:31,11/10/2019 19:05,20,Kan Yuan Jing,Catch all
2499,how can i check the history of fine payment,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/21/2019 16:37,11/10/2019 19:05,20,Kan Yuan Jing,Catch all
2500,Madam my parking offence how many dollarsnotice numberilpcescc201910196e01vehicle noGBD6208J how do check,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/21/2019 17:12,11/10/2019 19:04,20,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
2501,what is ura parking app,"(DPS) I paid for parking using the Parking.sg app with the wrong details (e.g. vehicle no., parking place). Will I be issued a fine?",Top Match,How does Parking.sg App work,Car Parks,No Feedback,10/21/2019 23:09,11/10/2019 19:04,20,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
2502,to download parkingsg app,(PON) Must I display a parking coupon or start a parking session if I am away for a short while?,Top Match,How does Parking.sg App work,Car Parks,No Feedback,10/21/2019 23:10,11/10/2019 19:04,20,Kan Yuan Jing,
2503,how to renew VPC,How do I renew my Vehicle Parking Certificate (VPC) for my Heavy Vehicle?,Top Match,How do I renew my Vehicle Parking Certificate (VPC) for my Heavy Vehicle?,Car Parks,No Feedback,10/21/2019 18:53,11/10/2019 19:03,20,Kan Yuan Jing,Car Parks-VPC-Renew
2504,refund for parking coupon envelope,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,10/22/2019 19:43,11/10/2019 19:03,19,Kan Yuan Jing,(PON) What should I do if I wish to return unused / wrongly torn coupons?
2505,How do I submit an appeal for my parking offence or check its appeal status,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/22/2019 22:39,11/10/2019 19:03,19,Kan Yuan Jing,(Payment) When do I need to make payment for the notice of parking offence?
2506,grant of written permission,General info on change of use,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 9:16,11/8/2019 15:51,1,Oh Kie Hock,General info on change of use
2507,hi,General Information about URA,Top Match,Catch all,,No Feedback,11/7/2019 10:08,11/8/2019 15:51,1,Oh Kie Hock,General Information about URA
2508,hi,General Information about URA,Top Match,Catch all,,No Feedback,11/7/2019 11:11,11/8/2019 15:51,1,Oh Kie Hock,General Information about URA
2509,others,Catch all,Top Match,Catch all,,No Feedback,11/7/2019 11:11,11/8/2019 15:51,1,Oh Kie Hock,(UPL) What should I do if other vehicles are occupying the parking lots I have applied to use?
2510,how do I check the occupancy loading for indoor playground,General info on change of use,Top Match,Catch all,,No Feedback,11/7/2019 15:14,11/8/2019 15:50,1,Oh Kie Hock,General info on renting private residential property
2511,occupancy loading,Catch all,Top Match,Catch all,,No Feedback,11/7/2019 15:15,11/8/2019 15:50,1,Oh Kie Hock,General info on renting private residential property
2512,enquiry approved use of premises,General info on change of use,Top Match,When do I have to apply for change of use?,Development Control > Change of Use,No Feedback,11/7/2019 14:40,11/8/2019 15:49,1,Oh Kie Hock,General info on change of use
2513,enquiry use of premises,General info on change of use,Top Match,When do I have to apply for change of use?,Development Control > Change of Use,No Feedback,11/7/2019 14:42,11/8/2019 15:49,1,Oh Kie Hock,General info on change of use
2514,URAs legal requisition,How can I obtain the approved plan for my property?,,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 14:44,11/8/2019 15:46,1,Oh Kie Hock,General Information about URA
2515,where are can I see proposed master plan amendment,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/7/2019 15:16,11/8/2019 15:46,1,Oh Kie Hock,General information on planning process
2516,master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/7/2019 15:16,11/8/2019 15:46,1,Oh Kie Hock,General Info on URA SPACE map service
2517,lease of conservancy units,General info on renting private residential property,,Catch all,,No Feedback,11/7/2019 15:57,11/8/2019 15:45,1,Oh Kie Hock,General info on renting private residential property
2518,Hi do I need to submit renovation plans for this unit,What are the development works that are exempted from planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 16:58,11/8/2019 15:45,1,Oh Kie Hock,General information on building conservation
2519,how do i know if the place has a previous record of approve use,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/7/2019 15:33,11/8/2019 15:44,1,Oh Kie Hock,General info on change of use
2520,How long application for change of use to take,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I check the status of my change of use application?,Development Control > Change of Use,No Feedback,11/7/2019 15:55,11/8/2019 15:44,1,Oh Kie Hock,General info on change of use
2521,I want to check the occupancy cap for my house,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/7/2019 17:44,11/8/2019 15:43,1,Oh Kie Hock,General info on renting private residential property
2522,What is the measures from east to west in Singapore,General Info on URA SPACE map service,,Catch all,,No Feedback,11/7/2019 16:23,11/8/2019 15:43,1,Oh Kie Hock,General Info on URA SPACE map service
2523,What is the land measures of Singapore from east to west,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/7/2019 16:24,11/8/2019 15:43,1,Oh Kie Hock,General Info on URA SPACE map service
2524,telephone number of Poh Bu Hap,General Information about URA,Top Match,General Information about URA,,No Feedback,11/7/2019 17:07,11/8/2019 15:43,1,Oh Kie Hock,General Information about URA
2525,do i need to apply to construct a trellis,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/7/2019 18:48,11/8/2019 15:42,1,Oh Kie Hock,General info on buying and renovating private residential properties
2526,Do we need to pay for PP extension,General info on change of use,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 19:17,11/8/2019 15:42,1,Oh Kie Hock,Catch all
2527,do Provisional Permission need to pay for any fee,What are the processing fees for development applications?,Top Match,Catch all,,No Feedback,11/7/2019 19:17,11/8/2019 15:41,1,Oh Kie Hock,General Information about URA
2528,Top,General information on building conservation,Top Match,Catch all,,No Feedback,11/8/2019 10:38,11/8/2019 15:41,<1,Oh Kie Hock,General information on building conservation
2529,FAQ,Catch all,Top Match,Catch all,,No Feedback,11/8/2019 10:38,11/8/2019 15:41,<1,Oh Kie Hock,Catch all
2530,Faq,Catch all,Top Match,Catch all,,No Feedback,11/8/2019 10:39,11/8/2019 15:41,<1,Oh Kie Hock,Catch all
2531,development period,General information on development charge rates,,Catch all,,No Feedback,11/8/2019 11:32,11/8/2019 15:40,<1,Oh Kie Hock,General information on development charge rates
2532,land size,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/8/2019 11:53,11/8/2019 15:40,<1,Oh Kie Hock,General Info on URA SPACE map service
2533,what is the definition of a building,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/8/2019 10:20,11/8/2019 15:39,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
2534,is tunnel exempt from planning permission,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/8/2019 11:37,11/8/2019 15:36,<1,Oh Kie Hock,What is a Temporary Written Permission?
2535,tenancy cap,General info on renting private residential property,,General info on renting private residential property,,No Feedback,11/8/2019 11:46,11/8/2019 15:36,<1,Oh Kie Hock,General info on renting private residential property
2536,maximum tenant capacity,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/8/2019 11:46,11/8/2019 15:36,<1,Oh Kie Hock,General info on renting private residential property
2537,submit change of use application,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,11/8/2019 12:06,11/8/2019 15:36,<1,Oh Kie Hock,General info on change of use
2538,submit change of use application,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,11/8/2019 12:56,11/8/2019 15:35,<1,Oh Kie Hock,General info on change of use
2539,I try to contact Ms Chou Mei but I am not getting through somehow,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,11/8/2019 13:32,11/8/2019 15:35,<1,Oh Kie Hock,General info for feedback on e-Service errors
2540,I did renew my season parking this month But my cash card was deducted this morning,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,Catch all,,No Feedback,11/2/2019 9:20,11/7/2019 18:23,5,Angeline Ng Li Ling,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
2541,where to print out the monthly reserved lots parking invoice,Car Parks-VPC,,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?,Car Parks,No Feedback,11/2/2019 9:36,11/7/2019 18:21,5,Angeline Ng Li Ling,Can I check my Parking.sg parking history and export my parking transactions?
2542,invoice for monthly heavy vehicle reserve lots,Car Parks-Season Parking-Apply,,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?,Car Parks,No Feedback,11/2/2019 9:45,11/7/2019 18:21,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
2543,I means search for the invoice of reserved parking lots of heavy vehicle under URA,Car Parks-Season Parking-Apply,,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?,Car Parks,No Feedback,11/2/2019 9:40,11/7/2019 18:18,5,Angeline Ng Li Ling,(SPT) What is the difference between reserved parking lots and Season Parking Tickets for heavy vehicles?
2544,whats the hotline number for cancel of the temporary heavy car park,General Information about URA,Top Match,Car Parks-Season Parking-Transfer,,No Feedback,11/2/2019 9:48,11/7/2019 18:17,5,Angeline Ng Li Ling,General Information about URA
2545,how to apply for use of parking lots,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,11/2/2019 10:21,11/7/2019 18:16,5,Angeline Ng Li Ling,Car Parks-Use of Parking lot for non-parking purpose
2546,Can company car buy my house address season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/1/2019 20:20,11/7/2019 18:16,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
2547,Can I buy second season parking on the same address,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/1/2019 20:22,11/7/2019 18:16,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
2548,where to apply bras basah complex season carpark,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/1/2019 22:05,11/7/2019 18:16,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
2549,why cant i find my summon here,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/2/2019 0:05,11/7/2019 18:16,5,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
2550,after appeal i cant find my parking notice here,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/2/2019 0:06,11/7/2019 18:16,5,Angeline Ng Li Ling,General info for feedback on e-Service errors
2551,when the status is replied on appeal what does it means,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/2/2019 0:07,11/7/2019 18:16,5,Angeline Ng Li Ling,Catch all
2552,i have a summons parking fines but cant find it to pay it now why,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/2/2019 0:07,11/7/2019 18:16,5,Angeline Ng Li Ling,Car Parks-Parking Offences
2553,how to buy season parking for ura manage carpark,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/2/2019 7:18,11/7/2019 18:16,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
2554,M0078 any season parking available,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/2/2019 7:22,11/7/2019 18:15,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
2555,how to buy season parking for M0087,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/2/2019 7:22,11/7/2019 18:15,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
2556,do we need to authorise ourself for use of car,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,11/1/2019 17:09,11/7/2019 18:14,6,Angeline Ng Li Ling,General info on change of use
2557,check fine,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/1/2019 17:19,11/7/2019 18:14,6,Angeline Ng Li Ling,Catch all
2558,Don have a credit card,(DPS) I wasn't aware that my transaction was not successful as my credit card expired. Will I still receive a notice?,Top Match,How do I pay for my parking sessions?,Car Parks,No Feedback,11/1/2019 16:21,11/7/2019 18:14,6,Angeline Ng Li Ling,Catch all
2559,Don have a credit card only have a debit card posb atm,(DPS) I wasn't aware that my transaction was not successful as my credit card expired. Will I still receive a notice?,,How do I pay for my parking sessions?,Car Parks,No Feedback,11/1/2019 16:21,11/7/2019 18:14,6,Angeline Ng Li Ling,Catch all
2560,I dont have a credit card but a debit posb ATM card,(DPS) I wasn't aware that my transaction was not successful as my credit card expired. Will I still receive a notice?,,How do I pay for my parking sessions?,Car Parks,No Feedback,11/1/2019 16:16,11/7/2019 18:14,6,Angeline Ng Li Ling,General info for feedback on e-Service errors
2561,forgotten to renew season parking,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Car Parks,No Feedback,11/1/2019 16:18,11/7/2019 18:13,6,Angeline Ng Li Ling,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
2562,How do i pay for the parking period,How do I pay for my parking sessions?,Top Match,How do I pay for my parking sessions?,Car Parks,No Feedback,11/1/2019 16:16,11/7/2019 18:10,6,Angeline Ng Li Ling,(DPS) What happens if I forgot to extend my parking session on the Parking.sg app?
2563,not appeal to check carpark fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/1/2019 15:57,11/7/2019 18:10,6,Angeline Ng Li Ling,Catch all
2564,rules and regulations when renovating a private residential home,General info on renting private residential property,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/4/2019 3:51,11/7/2019 14:50,3,Oh Kie Hock,General Info on Home Business
2565,written permission,What is a Temporary Written Permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/4/2019 15:00,11/7/2019 14:49,3,Oh Kie Hock,What is a Temporary Written Permission?
2566,Where can I see the plans for my neighbourhood,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/4/2019 21:37,11/7/2019 14:48,3,Oh Kie Hock,General information on planning process
2567,What does the term partially closed mean,General info on renting private residential property,,Catch all,,No Feedback,11/4/2019 21:40,11/7/2019 14:46,3,Oh Kie Hock,General Information about URA
2568,what is the minimum gross floor area for each trainee,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/4/2019 23:31,11/7/2019 14:45,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
2569,gross floor area for student,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/4/2019 23:33,11/7/2019 14:45,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
2570,space per pupil,Catch all,,Catch all,,No Feedback,11/4/2019 23:34,11/7/2019 14:45,3,Oh Kie Hock,General Info on URA SPACE map service
2571,minimum room size for training,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/4/2019 23:34,11/7/2019 14:45,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
2572,gross floor area for training,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/4/2019 23:34,11/7/2019 14:45,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
2573,are you working,What are the development works that are exempted from planning permission?,,Catch all,,No Feedback,11/4/2019 23:59,11/7/2019 14:45,3,Oh Kie Hock,Where can I find information on Singapore Property market?
2574,ura masterplan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/5/2019 3:12,11/7/2019 14:44,2,Oh Kie Hock,General Info on URA SPACE map service
2575,Where can i find ura circulars,Where can I find the latest URA circulars?,Top Match,Where can I find the latest URA circulars?,Development Control > General Information on Development Control,No Feedback,11/5/2019 12:40,11/7/2019 14:44,2,Oh Kie Hock,Where can I find the latest URA circulars?
2576,Lorong 25 Geyland land use,General Info on URA SPACE map service,,General Info on URA SPACE map service,,No Feedback,11/5/2019 12:42,11/7/2019 14:44,2,Oh Kie Hock,General information on planning process
2577,I got reply from Elaine National Park Board about Empress Lawn Count Down 2020 event She said that is National Park Board Property but Count Down is organizing by you,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/5/2019 14:36,11/7/2019 14:44,2,Oh Kie Hock,Catch all
2578,How to know the development is within envelop control area,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/5/2019 18:13,11/7/2019 14:43,2,Oh Kie Hock,General info on Development Control guidelines and handbooks
2579,Zip blind,Can I enclose my balcony?,,Catch all,,No Feedback,11/6/2019 21:27,11/7/2019 14:42,1,Oh Kie Hock,Can I install screening at my balcony?
2580,canopy j link,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/7/2019 0:13,11/7/2019 14:42,<1,Oh Kie Hock,General info on buying and renovating private residential properties
2581,Can I create internal partitions in a residential property,General info on renting private residential property,Top Match,Can I create internal partitions in a residential property?,Development Control > Subletting Private Residential Properties,No Feedback,11/6/2019 15:10,11/7/2019 14:41,1,Oh Kie Hock,General info on renting private residential property
2582,what is the latest version of edaform,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/6/2019 20:13,11/7/2019 14:40,1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
2583,Hello Im a tentative renting a business unit However there have been health concerns about the condition of the unit Im in Would this be the right ministry,Catch all,,Catch all,,No Feedback,11/6/2019 20:33,11/7/2019 14:39,1,Oh Kie Hock,Catch all
2584,Can I enclose my balcony,Can I enclose my balcony?,Top Match,Can I enclose my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/6/2019 21:24,11/7/2019 14:39,1,Oh Kie Hock,Can I enclose my balcony?
2585,Renting of bedrooms in condominium,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/7/2019 1:01,11/7/2019 14:39,<1,Oh Kie Hock,General info on renting private residential property
2586,complaint on illegal structures,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,11/7/2019 1:33,11/7/2019 14:38,<1,Oh Kie Hock,General info on reporting infringements
2587,penalty for erecting unauthorised structures on roof tops,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,General info on reporting infringements,,No Feedback,11/7/2019 1:34,11/7/2019 14:38,<1,Oh Kie Hock,General info on reporting infringements
2588,i search in ura space pas submitted uses and found the approved use with date of expiry indicated as Not Applicable Does this mean that the approved use is permanent,General info on change of use,Top Match,Catch all,,No Feedback,11/7/2019 9:19,11/7/2019 14:37,<1,Oh Kie Hock,General info on change of use
2589,please resend reply,General Information about URA,,Catch all,,No Feedback,11/7/2019 9:32,11/7/2019 14:37,<1,Oh Kie Hock,Rephrase question
2590,please resend reply,General Information about URA,,Catch all,,No Feedback,11/7/2019 9:33,11/7/2019 14:37,<1,Oh Kie Hock,Rephrase question
2591,change ownership,Catch all,Top Match,Catch all,,No Feedback,11/7/2019 9:40,11/7/2019 14:37,<1,Oh Kie Hock,Car Parks-Season Parking
2592,i would like to have MCST No,Car Parks-Season Parking-Apply,Top Match,Catch all,,No Feedback,11/7/2019 9:37,11/7/2019 14:36,<1,Oh Kie Hock,
2593,can foreigner rent a condo in singapore,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/7/2019 9:48,11/7/2019 14:36,<1,Oh Kie Hock,General info on renting private residential property
2594,Approved Use of Premises,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/7/2019 12:25,11/7/2019 14:35,<1,Oh Kie Hock,General info on change of use
2595,LATEST PLAN FEE,What are the processing fees for development applications?,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,No Feedback,11/7/2019 14:30,11/7/2019 14:35,<1,Oh Kie Hock,General Info on URA SPACE map service
2596,Is serviced apartments consider as residential or commercial,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/7/2019 10:24,11/7/2019 14:35,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
2597,What is a Temporary Written Permission,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,11/7/2019 11:00,11/7/2019 14:35,<1,Oh Kie Hock,What is a Temporary Written Permission?
