question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
enquiry use of premises,General info on change of use,Top Match,When do I have to apply for change of use?,Development Control > Change of Use,No Feedback,11/7/2019 14:42,11/8/2019 15:49,1,Oh Kie Hock,When do I have to apply for change of use?
URAs legal requisition,How can I obtain the approved plan for my property?,,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 14:44,11/8/2019 15:46,1,Oh Kie Hock,General info on renting private residential property
where are can I see proposed master plan amendment,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/7/2019 15:16,11/8/2019 15:46,1,Oh Kie Hock,General Info on URA SPACE map service
master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/7/2019 15:16,11/8/2019 15:46,1,Oh Kie Hock,General Info on URA SPACE map service
lease of conservancy units,General info on renting private residential property,,Catch all,,No Feedback,11/7/2019 15:57,11/8/2019 15:45,1,Oh Kie Hock,General info on renting private residential property
Hi do I need to submit renovation plans for this unit,What are the development works that are exempted from planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 16:58,11/8/2019 15:45,1,Oh Kie Hock,General information on building conservation
how do i know if the place has a previous record of approve use,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/7/2019 15:33,11/8/2019 15:44,1,Oh Kie Hock,General info on change of use
How long application for change of use to take,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I check the status of my change of use application?,Development Control > Change of Use,No Feedback,11/7/2019 15:55,11/8/2019 15:44,1,Oh Kie Hock,General info on change of use
I want to check the occupancy cap for my house,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/7/2019 17:44,11/8/2019 15:43,1,Oh Kie Hock,General info on renting private residential property
What is the measures from east to west in Singapore,General Info on URA SPACE map service,,Catch all,,No Feedback,11/7/2019 16:23,11/8/2019 15:43,1,Oh Kie Hock,General Info on URA SPACE map service
What is the land measures of Singapore from east to west,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/7/2019 16:24,11/8/2019 15:43,1,Oh Kie Hock,General Info on URA SPACE map service
telephone number of Poh Bu Hap,General Information about URA,Top Match,General Information about URA,,No Feedback,11/7/2019 17:07,11/8/2019 15:43,1,Oh Kie Hock,General Information about URA
do i need to apply to construct a trellis,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/7/2019 18:48,11/8/2019 15:42,1,Oh Kie Hock,General info on buying and renovating private residential properties
Do we need to pay for PP extension,General info on change of use,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 19:17,11/8/2019 15:42,1,Oh Kie Hock,General info on buying and renovating private residential properties
do Provisional Permission need to pay for any fee,What are the processing fees for development applications?,Top Match,Catch all,,No Feedback,11/7/2019 19:17,11/8/2019 15:41,1,Oh Kie Hock,Catch all
Top,General information on building conservation,Top Match,Catch all,,No Feedback,11/8/2019 10:38,11/8/2019 15:41,<1,Oh Kie Hock,General information on building conservation
FAQ,Catch all,Top Match,Catch all,,No Feedback,11/8/2019 10:38,11/8/2019 15:41,<1,Oh Kie Hock,Catch all
Faq,Catch all,Top Match,Catch all,,No Feedback,11/8/2019 10:39,11/8/2019 15:41,<1,Oh Kie Hock,Catch all
development period,General information on development charge rates,,Catch all,,No Feedback,11/8/2019 11:32,11/8/2019 15:40,<1,Oh Kie Hock,Catch all
land size,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/8/2019 11:53,11/8/2019 15:40,<1,Oh Kie Hock,General Info on URA SPACE map service
what is the definition of a building,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/8/2019 10:20,11/8/2019 15:39,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
is tunnel exempt from planning permission,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/8/2019 11:37,11/8/2019 15:36,<1,Oh Kie Hock,What is a Temporary Written Permission?
tenancy cap,General info on renting private residential property,,General info on renting private residential property,,No Feedback,11/8/2019 11:46,11/8/2019 15:36,<1,Oh Kie Hock,General info on renting private residential property
maximum tenant capacity,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/8/2019 11:46,11/8/2019 15:36,<1,Oh Kie Hock,General info on renting private residential property
submit change of use application,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,11/8/2019 12:06,11/8/2019 15:36,<1,Oh Kie Hock,General info on change of use
submit change of use application,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,11/8/2019 12:56,11/8/2019 15:35,<1,Oh Kie Hock,General info on change of use
I try to contact Ms Chou Mei but I am not getting through somehow,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,11/8/2019 13:32,11/8/2019 15:35,<1,Oh Kie Hock,General info for feedback on e-Service errors
I did renew my season parking this month But my cash card was deducted this morning,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,Catch all,,No Feedback,11/2/2019 9:20,11/7/2019 18:23,5,Angeline Ng Li Ling,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
where to print out the monthly reserved lots parking invoice,Car Parks-VPC,,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?,Car Parks,No Feedback,11/2/2019 9:36,11/7/2019 18:21,5,Angeline Ng Li Ling,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?
invoice for monthly heavy vehicle reserve lots,Car Parks-Season Parking-Apply,,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?,Car Parks,No Feedback,11/2/2019 9:45,11/7/2019 18:21,5,Angeline Ng Li Ling,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?
I means search for the invoice of reserved parking lots of heavy vehicle under URA,Car Parks-Season Parking-Apply,,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?,Car Parks,No Feedback,11/2/2019 9:40,11/7/2019 18:18,5,Angeline Ng Li Ling,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?
whats the hotline number for cancel of the temporary heavy car park,General Information about URA,Top Match,Car Parks-Season Parking-Transfer,,No Feedback,11/2/2019 9:48,11/7/2019 18:17,5,Angeline Ng Li Ling,Car Parks-Season Parking-Transfer
how to apply for use of parking lots,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,11/2/2019 10:21,11/7/2019 18:16,5,Angeline Ng Li Ling,Car Parks-Use of Parking lot for non-parking purpose
Can company car buy my house address season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/1/2019 20:20,11/7/2019 18:16,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
Can I buy second season parking on the same address,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/1/2019 20:22,11/7/2019 18:16,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
where to apply bras basah complex season carpark,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/1/2019 22:05,11/7/2019 18:16,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
why cant i find my summon here,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/2/2019 0:05,11/7/2019 18:16,5,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
after appeal i cant find my parking notice here,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/2/2019 0:06,11/7/2019 18:16,5,Angeline Ng Li Ling,General info for feedback on e-Service errors
when the status is replied on appeal what does it means,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/2/2019 0:07,11/7/2019 18:16,5,Angeline Ng Li Ling,Rephrase question
i have a summons parking fines but cant find it to pay it now why,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/2/2019 0:07,11/7/2019 18:16,5,Angeline Ng Li Ling,Car Parks-Parking Offences
how to buy season parking for ura manage carpark,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/2/2019 7:18,11/7/2019 18:16,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
M0078 any season parking available,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/2/2019 7:22,11/7/2019 18:15,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
how to buy season parking for M0087,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/2/2019 7:22,11/7/2019 18:15,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
do we need to authorise ourself for use of car,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,11/1/2019 17:09,11/7/2019 18:14,6,Angeline Ng Li Ling,General info on change of use
check fine,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/1/2019 17:19,11/7/2019 18:14,6,Angeline Ng Li Ling,Catch all
Don have a credit card,(DPS) I wasn't aware that my transaction was not successful as my credit card expired. Will I still receive a notice?,Top Match,How do I pay for my parking sessions?,Car Parks,No Feedback,11/1/2019 16:21,11/7/2019 18:14,6,Angeline Ng Li Ling,General Information about URA
Don have a credit card only have a debit card posb atm,(DPS) I wasn't aware that my transaction was not successful as my credit card expired. Will I still receive a notice?,,How do I pay for my parking sessions?,Car Parks,No Feedback,11/1/2019 16:21,11/7/2019 18:14,6,Angeline Ng Li Ling,General Information about URA
I dont have a credit card but a debit posb ATM card,(DPS) I wasn't aware that my transaction was not successful as my credit card expired. Will I still receive a notice?,,How do I pay for my parking sessions?,Car Parks,No Feedback,11/1/2019 16:16,11/7/2019 18:14,6,Angeline Ng Li Ling,General info for feedback on e-Service errors
forgotten to renew season parking,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Car Parks,No Feedback,11/1/2019 16:18,11/7/2019 18:13,6,Angeline Ng Li Ling,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
How do i pay for the parking period,How do I pay for my parking sessions?,Top Match,How do I pay for my parking sessions?,Car Parks,No Feedback,11/1/2019 16:16,11/7/2019 18:10,6,Angeline Ng Li Ling,(DPS) What happens if I forgot to extend my parking session on the Parking.sg app?
not appeal to check carpark fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/1/2019 15:57,11/7/2019 18:10,6,Angeline Ng Li Ling,Catch all
rules and regulations when renovating a private residential home,General info on renting private residential property,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/4/2019 3:51,11/7/2019 14:50,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
written permission,What is a Temporary Written Permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/4/2019 15:00,11/7/2019 14:49,3,Oh Kie Hock,What is a Temporary Written Permission?
Where can I see the plans for my neighbourhood,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/4/2019 21:37,11/7/2019 14:48,3,Oh Kie Hock,General information on planning process
What does the term partially closed mean,General info on renting private residential property,,Catch all,,No Feedback,11/4/2019 21:40,11/7/2019 14:46,3,Oh Kie Hock,(STPC) Where can I find information on URA car park locations and parking charges?
what is the minimum gross floor area for each trainee,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/4/2019 23:31,11/7/2019 14:45,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
gross floor area for student,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/4/2019 23:33,11/7/2019 14:45,3,Oh Kie Hock,Catch all
space per pupil,Catch all,,Catch all,,No Feedback,11/4/2019 23:34,11/7/2019 14:45,3,Oh Kie Hock,General Info on URA SPACE map service
minimum room size for training,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/4/2019 23:34,11/7/2019 14:45,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
gross floor area for training,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/4/2019 23:34,11/7/2019 14:45,3,Oh Kie Hock,Catch all
are you working,What are the development works that are exempted from planning permission?,,Catch all,,No Feedback,11/4/2019 23:59,11/7/2019 14:45,3,Oh Kie Hock,Catch all
ura masterplan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/5/2019 3:12,11/7/2019 14:44,2,Oh Kie Hock,General Info on URA SPACE map service
Where can i find ura circulars,Where can I find the latest URA circulars?,Top Match,Where can I find the latest URA circulars?,Development Control > General Information on Development Control,No Feedback,11/5/2019 12:40,11/7/2019 14:44,2,Oh Kie Hock,Where can I find the latest URA circulars?
Lorong 25 Geyland land use,General Info on URA SPACE map service,,General Info on URA SPACE map service,,No Feedback,11/5/2019 12:42,11/7/2019 14:44,2,Oh Kie Hock,General Info on URA SPACE map service
I got reply from Elaine National Park Board about Empress Lawn Count Down 2020 event She said that is National Park Board Property but Count Down is organizing by you,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/5/2019 14:36,11/7/2019 14:44,2,Oh Kie Hock,Catch all
How to know the development is within envelop control area,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/5/2019 18:13,11/7/2019 14:43,2,Oh Kie Hock,General info on Development Control guidelines and handbooks
Zip blind,Can I enclose my balcony?,,Catch all,,No Feedback,11/6/2019 21:27,11/7/2019 14:42,1,Oh Kie Hock,Can I enclose my balcony?
canopy j link,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/7/2019 0:13,11/7/2019 14:42,<1,Oh Kie Hock,Catch all
Can I create internal partitions in a residential property,General info on renting private residential property,Top Match,Can I create internal partitions in a residential property?,Development Control > Subletting Private Residential Properties,No Feedback,11/6/2019 15:10,11/7/2019 14:41,1,Oh Kie Hock,General info on renting private residential property
what is the latest version of edaform,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/6/2019 20:13,11/7/2019 14:40,1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
Hello Im a tentative renting a business unit However there have been health concerns about the condition of the unit Im in Would this be the right ministry,Catch all,,Catch all,,No Feedback,11/6/2019 20:33,11/7/2019 14:39,1,Oh Kie Hock,Catch all
Can I enclose my balcony,Can I enclose my balcony?,Top Match,Can I enclose my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/6/2019 21:24,11/7/2019 14:39,1,Oh Kie Hock,Can I enclose my balcony?
Renting of bedrooms in condominium,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/7/2019 1:01,11/7/2019 14:39,<1,Oh Kie Hock,General info on renting private residential property
complaint on illegal structures,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,11/7/2019 1:33,11/7/2019 14:38,<1,Oh Kie Hock,General info on reporting infringements
penalty for erecting unauthorised structures on roof tops,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,General info on reporting infringements,,No Feedback,11/7/2019 1:34,11/7/2019 14:38,<1,Oh Kie Hock,General info on reporting infringements
i search in ura space pas submitted uses and found the approved use with date of expiry indicated as Not Applicable Does this mean that the approved use is permanent,General info on change of use,Top Match,Catch all,,No Feedback,11/7/2019 9:19,11/7/2019 14:37,<1,Oh Kie Hock,General info on change of use
please resend reply,General Information about URA,,Catch all,,No Feedback,11/7/2019 9:32,11/7/2019 14:37,<1,Oh Kie Hock,Rephrase question
please resend reply,General Information about URA,,Catch all,,No Feedback,11/7/2019 9:33,11/7/2019 14:37,<1,Oh Kie Hock,Rephrase question
change ownership,Catch all,Top Match,Catch all,,No Feedback,11/7/2019 9:40,11/7/2019 14:37,<1,Oh Kie Hock,Catch all
i would like to have MCST No,Car Parks-Season Parking-Apply,Top Match,Catch all,,No Feedback,11/7/2019 9:37,11/7/2019 14:36,<1,Oh Kie Hock,General Info on Housing Developer
can foreigner rent a condo in singapore,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/7/2019 9:48,11/7/2019 14:36,<1,Oh Kie Hock,General info on renting private residential property
Approved Use of Premises,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/7/2019 12:25,11/7/2019 14:35,<1,Oh Kie Hock,General info on change of use
LATEST PLAN FEE,What are the processing fees for development applications?,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,No Feedback,11/7/2019 14:30,11/7/2019 14:35,<1,Oh Kie Hock,General Info on URA SPACE map service
Is serviced apartments consider as residential or commercial,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/7/2019 10:24,11/7/2019 14:35,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
What is a Temporary Written Permission,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,11/7/2019 11:00,11/7/2019 14:35,<1,Oh Kie Hock,What is a Temporary Written Permission?
written permission for temporary building,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,11/7/2019 11:00,11/7/2019 14:35,<1,Oh Kie Hock,What is a Temporary Written Permission?
dc15,"General info on Additions and Alterations, and DC Forms",Top Match,"General info on Additions and Alterations, and DC Forms",,No Feedback,11/7/2019 11:01,11/7/2019 14:35,<1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
yes please do a search,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,11/7/2019 11:23,11/7/2019 14:34,<1,Oh Kie Hock,General Info on URA SPACE map service
Can Cendex Centre ground floor unit change of use to Car Show room,General info on change of use,Top Match,General info on change of use,,No Feedback,11/7/2019 12:41,11/7/2019 14:34,<1,Oh Kie Hock,General info on change of use
I was told that the total land coverage area of build up for a detached house of 4700Sq ft cannot exceed 45,How can I obtain the approved plan for my property?,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/7/2019 12:32,11/7/2019 14:34,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
Check approved use,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/7/2019 13:41,11/7/2019 14:33,<1,Oh Kie Hock,General info on change of use
What is the maximum coverage of a builing on land when building a detached house on a land of 4700 sq ft,General info on buying and renovating private residential properties,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/7/2019 12:34,11/7/2019 14:33,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
TOP form,Where are the Development Control (DC) forms?,,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/7/2019 12:40,11/7/2019 14:33,<1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
how do i download form dc28,"General info on Additions and Alterations, and DC Forms",Top Match,Catch all,,No Feedback,11/7/2019 12:41,11/7/2019 14:32,<1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
would like to ask about the recent development near AMK Street 66,Catch all,Top Match,Catch all,,No Feedback,11/7/2019 13:42,11/7/2019 14:32,<1,Oh Kie Hock,General Info on URA SPACE map service
EHL,Catch all,,Catch all,,No Feedback,11/7/2019 14:04,11/7/2019 14:32,<1,Oh Kie Hock,Catch all
Jamie My name is Flora and I would like to become an volunteer for community tours,Catch all,Top Match,Catch all,,No Feedback,11/7/2019 14:18,11/7/2019 14:32,<1,Oh Kie Hock,Catch all
how do I report Airbnb,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,11/7/2019 14:22,11/7/2019 14:32,<1,Oh Kie Hock,General info on reporting infringements
i want to buy floorplan,Are unit floor plans available in the Private Residential Property Transactions e-Service?,Top Match,Are unit floor plans available in the Private Residential Property Transactions e-Service?,Property Market > Private Residential Property Transactions e-Service,Correct,11/7/2019 11:27,11/7/2019 11:27,<1,Benjamin Chow,Are unit floor plans available in the Private Residential Property Transactions e-Service?
use class,General information on development charge rates,Top Match,Catch all,,No Feedback,11/4/2019 14:39,11/6/2019 18:04,2,Oh Kie Hock,General information on development charge rates
how to buy asbuilt drawing of existing building,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/4/2019 14:50,11/6/2019 18:04,2,Oh Kie Hock,Are unit floor plans available in the Private Residential Property Transactions e-Service?
payment,Catch all,Top Match,Catch all,,No Feedback,11/4/2019 15:39,11/6/2019 18:04,2,Oh Kie Hock,Contextual Question
payment webpage,General info for feedback on e-Service errors,,General info for feedback on e-Service errors,,No Feedback,11/4/2019 15:39,11/6/2019 18:04,2,Oh Kie Hock,General info for feedback on e-Service errors
purchase of asbuilt drawing of existing building,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/4/2019 16:12,11/6/2019 18:03,2,Oh Kie Hock,Catch all
Will like to check whether a change of use application is required for a retail shop to entertainment in shopping mall,How do I submit a change of use lodgment?,Top Match,General info on change of use,,No Feedback,11/4/2019 18:31,11/6/2019 18:03,2,Oh Kie Hock,General info on change of use
How do I report my neighbours for having too many tenants,General info on reporting infringements,Top Match,General info on reporting infringements,,Incorrect,11/4/2019 20:15,11/6/2019 18:02,2,Oh Kie Hock,General info on reporting infringements
is serviced apartment considered as commercial property,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/4/2019 23:50,11/6/2019 18:02,2,Oh Kie Hock,General info on Development Control guidelines and handbooks
I would like to rent an apartment for four people for one week Where can I look for legal rentals,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/5/2019 1:05,11/6/2019 18:01,1,Oh Kie Hock,General info on renting private residential property
I have applied for URA to be able to host my business in my condo unit for which Im tenant How can I know the status of my request,Catch all,Top Match,Catch all,,No Feedback,11/5/2019 8:37,11/6/2019 18:01,1,Oh Kie Hock,General info on renting private residential property
Is extension of lease for less than 3 months allowed,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/5/2019 9:22,11/6/2019 18:00,1,Oh Kie Hock,General info on renting private residential property
Want to renew temporary canteen,What is a Temporary Written Permission?,Top Match,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,11/5/2019 9:24,11/6/2019 17:59,1,Oh Kie Hock,What is a Temporary Written Permission?
Renew temporary canteen application,What is a Temporary Written Permission?,,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,11/5/2019 9:25,11/6/2019 17:59,1,Oh Kie Hock,What is a Temporary Written Permission?
WHAT IS LHA PLAN,Catch all,,General info on Development Control guidelines and handbooks,,No Feedback,11/5/2019 9:32,11/6/2019 17:58,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
Which geographical sector is Lavander,General information on development charge rates,Top Match,General information on development charge rates,,No Feedback,11/5/2019 9:29,11/6/2019 17:58,1,Oh Kie Hock,General information on development charge rates
rent,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/5/2019 9:40,11/6/2019 17:58,1,Oh Kie Hock,General info on renting private residential property
Hi Jamie reference this point Any form of product promotion and sales eg product launches car displays road shows auctions it means we cannot sell stuff,Catch all,,Catch all,,No Feedback,11/5/2019 9:50,11/6/2019 17:58,1,Oh Kie Hock,Catch all
I want to buy approved plan,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/5/2019 10:02,11/6/2019 17:58,1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
file a complaint,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,11/5/2019 10:41,11/6/2019 17:57,1,Oh Kie Hock,General info on reporting infringements
complaint,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,11/5/2019 10:41,11/6/2019 17:57,1,Oh Kie Hock,General info on reporting infringements
Can you check for me the reason of application rejected,How can I obtain the approved plan for my property?,Top Match,Catch all,,Incorrect,11/5/2019 11:05,11/6/2019 17:57,1,Oh Kie Hock,Catch all
I would like to check for 3 storey landed property level 2 balcony would like to convert it to a room Is there any sumission involve,General info on change of use,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/5/2019 11:33,11/6/2019 17:56,1,Oh Kie Hock,General info on buying and renovating private residential properties
Can I buy ONE landed property and split into TWO title deeds,Catch all,Top Match,Catch all,,No Feedback,11/5/2019 12:43,11/6/2019 17:56,1,Oh Kie Hock,Catch all
In home office scheme mine is not listed in both permissible and nonpermissible business types,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/5/2019 13:06,11/6/2019 17:56,1,Oh Kie Hock,General Info on Home Business
is airbnb illegal,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/5/2019 14:47,11/6/2019 17:55,1,Oh Kie Hock,General info on renting private residential property
renovation guidelines,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?",Top Match,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/5/2019 14:48,11/6/2019 17:55,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
short term accomodation,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/5/2019 14:48,11/6/2019 17:55,1,Oh Kie Hock,General info on renting private residential property
cathay green,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/5/2019 15:02,11/6/2019 17:55,1,Oh Kie Hock,Catch all
booke Cathay Green,Catch all,,Catch all,,No Feedback,11/5/2019 15:02,11/6/2019 17:55,1,Oh Kie Hock,Catch all
where can i find bra renovation guideliens,General info on buying and renovating private residential properties,Top Match,General info on buying and renovating private residential properties,,No Feedback,11/5/2019 14:48,11/6/2019 17:54,1,Oh Kie Hock,General info on buying and renovating private residential properties
where can i find URA renovation guidelines,Where can I find the latest URA circulars?,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/5/2019 14:49,11/6/2019 17:54,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
renovation guidelines for outdoor refreshment,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/5/2019 15:55,11/6/2019 17:51,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
I wish to report an illegal covering of private roof terrace,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,11/5/2019 16:27,11/6/2019 17:51,1,Oh Kie Hock,General info on reporting infringements
How to check the lease land for Kallang Leisure Park,How can I obtain the approved plan for my property?,Top Match,Catch all,,No Feedback,11/5/2019 16:38,11/6/2019 17:51,1,Oh Kie Hock,Car Parks-Season Parking-Apply
